diagnosis,count,percentage,global,irrelevant,local
extensive st-t changes may be due to hypertrophy and/or ischemia,7787,0.29,1,0,1
extensive st-t changes are nonspecific,7746,0.29,0,0,1
anteroseptal infarct - age undetermined,7405,0.28,1,0,0
lateral st-t changes may be due to hypertrophy and/or ischemia,7032,0.26,1,0,1
"abnormal r-wave progression, early transition",6908,0.26,0,0,1
*** report made without knowing patient's sex or age ***,6894,0.26,0,1,0
ventricular pacing,6220,0.23,1,0,1
inferior/lateral st-t changes may be due to hypertrophy and/or ischemia,6205,0.23,1,0,1
generalized low qrs voltages,6175,0.23,0,0,1
qrs changes v3/v4 may be due to lvh but cannot rule out anterior infarct,6151,0.23,1,0,1
right axis deviation,6074,0.23,1,0,0
lateral st-t changes are probably due to ventricular hypertrophy,5951,0.22,1,0,1
incomplete rbbb,5929,0.22,1,0,1
atrial fibrillation with rapid ventricular response.,5886,0.22,1,0,0
prolonged pr interval,5623,0.21,0,0,1
indeterminate axis,5531,0.21,1,0,0
"inferior infarct, old",5513,0.21,1,0,0
--- warning: data quality may affect interpretation ---,5274,0.2,0,1,0
sinus rhythm with pvc(s),5060,0.19,1,0,1
"age not entered, assumed to be  50 years old for purpose of ecg interpretation",4978,0.19,0,1,0
sinus bradycardia with 1st degree a-v block,4956,0.18,1,0,0
possible ectopic atrial rhythm,4839,0.18,1,0,0
sinus bradycardia with borderline 1st degree a-v block,4786,0.18,1,0,0
extensive infarct - age undetermined,4762,0.18,1,0,0
inferior st-t changes are nonspecific,4674,0.17,0,0,1
incomplete lbbb,4617,0.17,1,0,1
atrial fibrillation with slow ventricular response,4515,0.17,1,0,0
demand pacing,4418,0.16,1,0,1
inferior/lateral t wave changes are nonspecific,4368,0.16,0,0,1
"low voltage, precordial leads",4340,0.16,0,0,1
lateral st changes are nonspecific,4220,0.16,0,0,1
inferior and anterior t wave changes are nonspecific,4168,0.16,0,0,1
anterolateral t wave changes are nonspecific,4075,0.15,0,0,1
possible lateral infarct - age undetermined,3921,0.15,1,0,0
inferior/lateral st-t changes are probably due to ventricular hypertrophy,3899,0.15,1,0,1
"st elev, probable normal early repol pattern",3853,0.14,1,0,1
sinus bradycardia with sinus arrhythmia,3782,0.14,1,0,0
anterolateral st-t changes are nonspecific,3758,0.14,0,0,1
atrial pacing,3729,0.14,1,0,1
right ventricular hypertrophy,3718,0.14,1,0,0
sinus rhythm with 1st degree a-v block.,3708,0.14,1,0,0
possible right atrial abnormality,3704,0.14,1,0,0
consider left atrial abnormality,3677,0.14,1,0,0
summary: abnormal ecg,3589,0.13,1,0,0
sinus rhythm with borderline 1st degree a-v block.,3528,0.13,1,0,0
lateral infarct - age undetermined,3519,0.13,1,0,0
ventricular premature complex,3471,0.13,1,0,1
anterolateral st-t changes may be due to myocardial ischemia,3361,0.13,1,0,1
marked left axis deviation,3161,0.12,1,0,0
probable left ventricular hypertrophy,3105,0.12,1,0,0
extensive st-t changes are probably due to ventricular hypertrophy,2946,0.11,1,0,1
nonspecific intraventricular conduction delay,2915,0.11,1,0,0
extensive t wave changes are nonspecific,2886,0.11,0,0,1
atrial premature complex,2853,0.11,1,0,1
*** report made without knowing patient's age ***,2751,0.1,0,1,0
left ventricular hypertrophy by voltage only,2742,0.1,1,0,1
"inferior st elevation, consider acute infarct",2675,0.1,1,0,1
anteroseptal t wave changes are nonspecific,2568,0.1,0,0,1
sinus arrhythmia.,2530,0.09,1,0,0
sinus rhythm with pacs,2519,0.09,1,0,1
sinus rhythm with pac(s).,2489,0.09,1,0,1
possible atrial flutter,2396,0.09,1,0,0
left atrial enlargement,2382,0.09,1,0,0
"low voltage, extremity leads",2321,0.09,0,0,1
"nonspecific t abnormalities, lateral leads",2275,0.08,0,0,1
"lateral st elevation, consider acute infarct",2241,0.08,1,0,1
repolarization changes may be partly due to rhythm,2220,0.08,1,0,1
anterior infarct - age undetermined,2195,0.08,1,0,0
lateral t wave changes are probably due to ventricular hypertrophy,2150,0.08,1,0,1
borderline prolonged pr interval,2125,0.08,0,0,1
anterolateral st-t changes may be due to hypertrophy and/or ischemia,2087,0.08,1,0,1
severe right axis deviation,2012,0.07,1,0,0
"anterior infarct, old",2003,0.07,1,0,0
demand atrial pacing,1975,0.07,1,0,1
extensive t wave changes may be due to myocardial ischemia,1968,0.07,1,0,1
left atrial abnormality,1965,0.07,1,0,0
a-v sequential pacemaker,1945,0.07,1,0,1
inferior/lateral t changes are nonspecific,1923,0.07,0,0,1
demand pacing.,1890,0.07,1,0,1
long qtc interval,1871,0.07,0,0,1
accelerated idioventricular rhythm,1861,0.07,1,0,0
ventricular pacing.,1840,0.07,1,0,1
*** report made without knowing patient's sex ***,1840,0.07,0,1,0
possible ectopic atrial bradycardia,1823,0.07,1,0,0
intraventricular conduction defect,1798,0.07,1,0,0
sinus bradycardia with pac(s),1785,0.07,1,0,1
regular supraventricular rhythm,1777,0.07,1,0,0
rbbb and lafb,1759,0.07,1,0,1
sinus rhythm with pvcs,1757,0.07,1,0,1
possible right ventricular hypertrophy,1718,0.06,1,0,0
tall t waves - consider acute ischemia or hyperkalemia,1711,0.06,1,0,1
anterolateral t wave changes may be due to myocardial ischemia,1695,0.06,1,0,1
septal st-t changes are nonspecific,1688,0.06,0,0,1
lateral leads are also involved,1659,0.06,0,0,1
atrial fibrillation with slow ventricular response.,1658,0.06,1,0,0
"anteroseptal st elevation, consider acute infarct",1654,0.06,1,0,1
"--- suspect arm lead reversal - only avf, v1-v6 analyzed ---",1646,0.06,0,1,0
ant/septal and lateral st-t changes may be due to myocardial ischemia,1633,0.06,1,0,1
septal and lateral st-t changes are nonspecific,1626,0.06,0,0,1
- premature ventricular contractions,1578,0.06,1,0,1
sinus rhythm with pacs.,1562,0.06,1,0,1
undetermined rhythm,1543,0.06,1,0,0
summary: borderline ecg,1536,0.06,1,0,0
lead(s) unsuitable for analysis: v2,1519,0.06,0,1,0
lead(s) unsuitable for analysis: v1,1518,0.06,0,1,0
- borderline first degree a-v block,1517,0.06,1,0,0
sinus tachycardia with pac(s),1485,0.06,1,0,1
possible extensive infarct - age undetermined,1483,0.06,1,0,0
extensive st-t changes suggest myocardial injury/ischemia,1475,0.05,1,0,1
- supraventricular extrasystoles,1469,0.05,1,0,1
atrial fibrillation with pvc(s),1466,0.05,1,0,1
sinus rhythm with pvc(s).,1466,0.05,1,0,1
- first degree a-v block,1464,0.05,1,0,0
sinus bradycardia with 1st degree a-v block.,1457,0.05,1,0,0
lead(s) unsuitable for analysis: v3,1419,0.05,0,1,0
possible ectopic atrial rhythm.,1402,0.05,1,0,0
consider left ventricular hypertrophy,1369,0.05,1,0,0
lead(s) unsuitable for analysis: v6,1363,0.05,0,1,0
summary: abnormal,1361,0.05,1,0,0
cannot rule out septal infarct - age undetermined,1359,0.05,1,0,0
inferior/lateral t wave changes may be due to myocardial ischemia,1359,0.05,1,0,1
poor r wave progression - cannot rule out anteroseptal infarct,1355,0.05,1,0,1
probable accelerated junctional rhythm,1336,0.05,1,0,0
atrial flutter,1315,0.05,1,0,0
possible atrial flutter with rapid ventricular response,1281,0.05,1,0,0
"anteroseptal infarct, old",1259,0.05,1,0,0
normal ecg based on available leads,1255,0.05,1,0,0
"anterior q waves, possibly due to lvh",1254,0.05,1,0,1
sinus rhythm with frequent pvcs,1252,0.05,1,0,1
atrial premature complexes,1250,0.05,1,0,1
"probable anteroseptal infarct, old",1231,0.05,1,0,0
summary: normal ecg,1224,0.05,1,0,0
atrial fibrillation with pvc(s) or aberrant ventricular conduction,1207,0.04,1,0,1
within normal limits,1202,0.04,1,0,0
inferior/lateral st-t changes suggest myocardial injury/ischemia,1200,0.04,1,0,1
sinus bradycardia with borderline 1st degree a-v block.,1198,0.04,1,0,0
ant/septal and lateral st-t changes are nonspecific,1196,0.04,0,0,1
pacer detection suspended due to external noise-review advised,1193,0.04,0,1,0
lead(s) unsuitable for analysis: v5,1169,0.04,0,1,0
sinus or ectopic atrial rhythm,1162,0.04,1,0,0
cannot rule out anteroseptal infarct - age undetermined,1156,0.04,1,0,0
lead(s) unsuitable for analysis: v4,1152,0.04,0,1,0
old inferior infarct,1134,0.04,1,0,0
incomplete right bundle branch block,1103,0.04,1,0,1
septal st changes are nonspecific,1098,0.04,0,0,1
possible lvh with secondary repolarization abnormality,1091,0.04,1,0,1
sinus rhythm with pvcs.,1090,0.04,1,0,1
probable lvh with secondary repol abnrm,1086,0.04,1,0,1
possible atrial flutter.,1081,0.04,1,0,0
inferior st-t changes may be due to myocardial ischemia,1068,0.04,1,0,1
these minor changes are of equivocal significance only,1051,0.04,1,0,0
borderline abnormal changes possibly due to myocardial ischemia,1049,0.04,1,0,0
anterolateral infarct - age undetermined,1044,0.04,1,0,0
sinus bradycardia with sinus arrhythmia.,1037,0.04,1,0,0
"anteroseptal infarct, age indeterminate",1034,0.04,1,0,0
nonspecific ivcd with lad,1023,0.04,1,0,0
consider anterior infarct,994,0.04,1,0,0
"borderline st elevation, anterior leads",960,0.04,0,0,1
probable sinus tachycardia,958,0.04,1,0,0
lateral st-t changes suggest myocardial injury/ischemia,958,0.04,1,0,1
no other finding,953,0.04,0,1,0
"anterior st elevation, probably due to lvh",945,0.04,1,0,1
extensive st elevation - consider pericarditis,939,0.03,1,0,1
"st elevation, consider inferior injury",928,0.03,1,0,1
possible atrial flutter with rapid ventricular response.,926,0.03,1,0,0
atrial pacing.,925,0.03,1,0,1
ant/septal and lateral t wave changes may be due to myocardial ischemia,925,0.03,1,0,1
"nonspecific t abnrm, anterolateral leads",923,0.03,0,0,1
"abnormal t, consider ischemia, lateral leads",916,0.03,1,0,1
extensive st elevation suggests pericarditis,907,0.03,1,0,1
inferior and lateral st elevation - possible early repolarization,887,0.03,1,0,1
ant/septal and lateral t wave changes are nonspecific,887,0.03,0,0,1
incomplete left bundle branch block,852,0.03,1,0,1
inferior t wave changes may be normal for age,851,0.03,0,0,1
"inferior infarct, age indeterminate",851,0.03,1,0,0
cannot rule out anterior infarct - age undetermined,849,0.03,1,0,0
probable accelerated junctional rhythm.,819,0.03,1,0,0
"marked precordial st depression, consider acute infarct",816,0.03,1,0,1
abnormal changes possibly due to myocardial ischemia,815,0.03,1,0,0
"st elevation, consider anterior injury",798,0.03,1,0,1
anterior t wave changes are borderline abnormal,796,0.03,1,0,1
multiple ventricular premature complexes,786,0.03,1,0,1
probable sinus tachycardia.,780,0.03,1,0,0
sinus tachycardia with pac(s).,778,0.03,1,0,1
anteroseptal t wave changes may be due to myocardial ischemia,771,0.03,1,0,1
accelerated idioventricular rhythm.,770,0.03,1,0,0
ant/septal and lateral st-t changes may be due to hypertrophy and/or ischemia,764,0.03,1,0,1
sinus rhythm with pvc(s) with pac(s),762,0.03,1,0,1
"anterolateral st elevation, consider acute infarct",762,0.03,1,0,1
a-v dissociation,748,0.03,1,0,0
sinus tachycardia with sinus arrhythmia,747,0.03,1,0,0
left axis deviation - possible left anterior fascicular block,746,0.03,1,0,0
lateral t wave changes may be due to hypertrophy and/or ischemia,742,0.03,1,0,1
regular supraventricular rhythm.,739,0.03,1,0,0
"nonspecific t abnormalities, anterior leads",734,0.03,0,0,1
"abnrm t, consider ischemia, anterolateral lds",733,0.03,1,0,1
"low voltage, extremity and precordial leads",724,0.03,0,0,1
--- suspect limb lead reversal - only v1-v6 analyzed ---,722,0.03,0,1,0
atrial flutter with rapid ventricular response with 2:1 a-v block,720,0.03,1,0,0
inferior/lateral t changes may be due to myocardial ischemia,716,0.03,1,0,1
sinus bradycardia with pvc(s),715,0.03,1,0,1
probable normal variant,701,0.03,1,0,0
left axis deviation - anterior fascicular block,701,0.03,1,0,0
sinus arrhythmia with pvc(s),698,0.03,1,0,1
sinus tachycardia with pvc(s),697,0.03,1,0,1
changes may also partly be due to rhythm,696,0.03,0,1,0
possible faulty v2 - omitted from analysis,683,0.03,0,1,0
anterolateral st elevation - possible early repolarization,681,0.03,1,0,1
sinus tachycardia with pacs.,678,0.03,1,0,1
atrial flutter with rapid ventricular response with 2:1 a-v block.,670,0.02,1,0,0
demand atrial pacing.,667,0.02,1,0,1
"borderline t abnormalities, diffuse leads",663,0.02,1,0,1
summary: borderline,650,0.02,1,0,0
anteroseptal st depression is probably reciprocal to inferior infarct,645,0.02,1,0,1
possible old anterior infarct,643,0.02,1,0,0
sinus rhythm with pac(s) with borderline 1st degree a-v block,638,0.02,1,0,1
short qt interval,636,0.02,0,0,1
atrial fibrillation with uncontrolled ventricular response,624,0.02,1,0,0
possible old inferior infarct,619,0.02,1,0,0
poor r wave progression - cannot rule out septal infarct,619,0.02,1,0,1
sinus rhythm with pac(s) with 1st degree a-v block,612,0.02,1,0,1
atrial fibrillation with rapid ventricular response with pvc(s),604,0.02,1,0,1
--- pediatric criteria used ---,601,0.02,0,1,0
lateral st elevation - possible early repolarization,598,0.02,1,0,1
sinus arrhythmia with borderline 1st degree a-v block,597,0.02,1,0,0
probable old inferior infarct,596,0.02,1,0,0
"lae, consider biatrial enlargement",595,0.02,1,0,0
sinus tachycardia with borderline 1st degree a-v block,593,0.02,1,0,0
"ivcd, consider atypical rbbb",592,0.02,1,0,1
st-t changes in the lateral leads,589,0.02,0,0,1
inferior and anterior st-t changes are nonspecific,586,0.02,0,0,1
atrial fibrillation with pvc(s).,586,0.02,1,0,1
t wave inversion also present,584,0.02,0,0,1
sinus rhythm with bigeminal pvcs,583,0.02,1,0,1
paired ventricular premature complexes,575,0.02,1,0,1
lvh with ivcd and secondary repol abnrm,568,0.02,1,0,1
poor r wave progression v2-v4,567,0.02,0,0,1
"multiple premature complexes, vent & supraven",563,0.02,1,0,1
"repol abnrm suggests ischemia, diffuse leads",560,0.02,1,0,1
inferior st changes are nonspecific,559,0.02,0,0,1
inferior t wave changes may be due to myocardial ischemia,558,0.02,1,0,1
ectopic atrial rhythm,551,0.02,1,0,0
sinus bradycardia with pac(s).,549,0.02,1,0,1
probable old septal infarct,548,0.02,1,0,0
sinus rhythm with aberrantly conducted supraventricular complexes,547,0.02,1,0,1
sinus arrhythmia with 1st degree a-v block,546,0.02,1,0,0
inferior infarction - age undetermined,546,0.02,1,0,0
prolonged qrs duration,544,0.02,0,0,1
multiform ventricular premature complexes,543,0.02,1,0,1
analysis error,542,0.02,0,1,0
biatrial enlargement,540,0.02,1,0,0
possible anterior infarction - age undetermined,535,0.02,1,0,0
atrial fibrillation with uncontrolled ventricular response.,534,0.02,1,0,0
--- recording unsuitable for analysis - please repeat ---,529,0.02,0,1,0
"nonspecific repol abnormality, diffuse leads",525,0.02,0,0,1
rvh with secondary repolarization abnormality,520,0.02,1,0,1
sinus tachycardia with pacs,518,0.02,1,0,1
"lad, consider left anterior fascicular block",518,0.02,1,0,0
q waves in inferior leads,518,0.02,0,0,1
st elevation suggests acute pericarditis,518,0.02,1,0,1
"possible sequence error: v2,v3 omitted",515,0.02,0,1,0
possible accelerated junctional rhythm,512,0.02,1,0,0
undetermined rhythm.,508,0.02,1,0,0
ventricular bigeminy,506,0.02,1,0,0
sinus rhythm with pvc(s) with 1st degree a-v block,501,0.02,1,0,1
t wave changes in inferior leads,500,0.02,0,0,1
regular ventricular pacing,498,0.02,1,0,1
septal and lateral st-t changes may be due to myocardial ischemia,497,0.02,1,0,1
"probable anterior infarct, age indeterminate",496,0.02,1,0,0
sinus tachycardia with sinus arrhythmia.,496,0.02,1,0,0
"inferior infarct, acute",493,0.02,1,0,0
atrial fibrillation with pvc(s) or aberrant ventricular conduction.,493,0.02,1,0,1
extensive t wave changes may be due to hypertrophy and/or ischemia,492,0.02,1,0,1
irregular sinus bradycardia,488,0.02,1,0,0
atrial fibrillation with rapid ventricular response with pvc(s) or aberrant ventricular conduction,488,0.02,1,0,1
sinus rhythm with frequent pvcs.,487,0.02,1,0,1
broad r or r' in v1 or v2,486,0.02,0,0,1
extensive ivcd,486,0.02,1,0,1
anterolateral st-t changes are probably due to ventricular hypertrophy,482,0.02,1,0,1
repolarization changes may be partly due to rate/rhythm,479,0.02,1,0,1
t wave changes in lateral leads,478,0.02,0,0,1
inferior and ant/septal t wave changes are nonspecific,478,0.02,0,0,1
"nonspecific t abnormalities, inferior leads",477,0.02,0,0,1
possible ectopic atrial bradycardia.,466,0.02,1,0,0
tall r v1/v2 probably reflect the infarct,466,0.02,1,0,1
inferior and lateral st-t changes,461,0.02,0,0,1
repolarization changes may be partly due to rate,457,0.02,0,0,1
inferior st elevation - cannot rule out myocardial injury,455,0.02,1,0,1
inferior st elevation - possible early repolarization,448,0.02,1,0,1
supraventricular bigeminy,447,0.02,1,0,1
sinus bradycardia with pacs,444,0.02,1,0,1
"inferior and lateral st elevation, consider acute infarct",440,0.02,1,0,1
indeterminate frontal qrs axis,433,0.02,1,0,0
"repol abnrm suggests ischemia, anterolateral",431,0.02,1,0,1
rbbb and lpfb,430,0.02,1,0,1
atrial fibrillation with pvcs,429,0.02,1,0,1
anterior t wave changes may be due to myocardial ischemia,428,0.02,1,0,1
a-v sequential pacemaker.,426,0.02,1,0,1
atrial fibrillation with pvcs.,425,0.02,1,0,1
sinus rhythm with pvc(s) with borderline 1st degree a-v block,423,0.02,1,0,1
conduction defect of rbbb type,422,0.02,1,0,1
anterolateral st-t changes suggest myocardial injury/ischemia,418,0.02,1,0,1
atrial flutter with rapid ventricular response,415,0.02,1,0,0
lateral st-t changes offer additional evidence of ischemia,415,0.02,1,0,1
** interpretation made without knowing patient's gender/age **,414,0.02,0,1,0
lvh with secondary st-t changes,413,0.02,1,0,1
- ventricular couplets,410,0.02,1,0,1
interpretation made without knowledge of patient's sex and age.,406,0.02,0,1,0
these changes may be due to hypertrophy and/or ischemia,403,0.02,1,0,0
possible left posterior fascicular block,401,0.01,1,0,0
anterolateral t wave changes may be due to hypertrophy and/or ischemia,401,0.01,1,0,1
*** anteroseptal infarct - possibly acute ***,401,0.01,1,0,0
"nonspecific t abnormalities, diffuse leads",400,0.01,0,0,1
extensive st-t changes,400,0.01,0,0,1
inferior and anterior t wave changes are borderline abnormal,399,0.01,1,0,1
lateral st changes are probably due to ventricular hypertrophy,395,0.01,1,0,1
*** anterior infarct - possibly acute ***,393,0.01,1,0,0
possible biatrial enlargement,392,0.01,1,0,0
"borderline st elevation, lateral leads",391,0.01,0,0,1
atrial fibrillation with rapid ventricular response with pvc(s).,389,0.01,1,0,1
interpretation made without knowledge of patient's sex.,380,0.01,0,1,0
inferior st elevation suggests early repolarization,379,0.01,1,0,1
i.v. conduction defect,377,0.01,1,0,0
inferior st elevation - repeat if myocardial injury is suspected,377,0.01,0,0,1
marked sinus bradycardia,377,0.01,1,0,0
- premature ventricular contractions or aberrant ventricular conduction,376,0.01,1,0,1
possible idioventricular rhythm with slow ventricular response,375,0.01,1,0,0
sinus rhythm with bigeminal pacs,372,0.01,1,0,1
"septal st elevation, consider acute infarct",371,0.01,1,0,1
inferior/lateral t wave changes are probably due to ventricular hypertrophy,370,0.01,1,0,1
voltage criteria for left ventricular hypertrophy,370,0.01,1,0,1
*** inferior infarct - possibly acute ***,368,0.01,1,0,0
probable supraventricular tachycardia.,366,0.01,1,0,0
probable supraventricular tachycardia,364,0.01,1,0,0
sinus tachycardia with borderline 1st degree a-v block.,363,0.01,1,0,0
sinus or ectopic atrial tachycardia,363,0.01,1,0,0
septal and lateral st-t changes may be due to hypertrophy and/or ischemia,356,0.01,1,0,1
sinus rhythm with frequent multifocal pvcs,352,0.01,1,0,1
sinus bradycardia with sinus arrhythmia with borderline 1st degree a-v block,350,0.01,1,0,0
first degree a-v block,349,0.01,1,0,0
probable atrial fibrillation,347,0.01,1,0,0
atrial fibrillation with pvcs or aberrant ventricular conduction,347,0.01,1,0,1
inferior/lateral st changes are nonspecific,346,0.01,0,0,1
"anterolateral infarct, age indeterminate",345,0.01,1,0,0
t wave changes in anterior leads,343,0.01,0,0,1
"abnormal t, consider ischemia, diffuse leads",342,0.01,1,0,1
probable atrial tachycardia.,341,0.01,1,0,0
possible inferior infarction - age undetermined,340,0.01,1,0,0
sinus bradycardia with sinus arrhythmia with 1st degree a-v block,340,0.01,1,0,0
sinus tachycardia with pvcs.,337,0.01,1,0,1
atrial fibrillation with rapid v-rate,336,0.01,1,0,0
conduction defect of lbbb type,336,0.01,1,0,1
right atrial enlargement,331,0.01,1,0,0
inferior and septal t wave changes are nonspecific,329,0.01,0,0,1
possible anterior infarct,329,0.01,1,0,0
"*** if rhythm correct, report below may be invalid ***",328,0.01,0,1,0
ant/septal and lateral st-t changes are probably due to ventricular hypertrophy,327,0.01,1,0,1
afib/flut and v-paced complexes,327,0.01,1,0,1
atrial flutter.,325,0.01,1,0,0
"repol abnrm suggests ischemia, lateral leads",323,0.01,1,0,1
sinus tachycardia with pvc(s).,318,0.01,1,0,1
"repolarization abnormality, prob rate related",318,0.01,0,0,1
"abnormal t, consider ischemia, anterior leads",317,0.01,1,0,1
sinus rhythm with multifocal pvcs,314,0.01,1,0,1
probable atrial tachycardia,312,0.01,1,0,0
atrial fibrillation with pvcs or aberrant ventricular conduction.,312,0.01,1,0,1
marked right axis deviation,310,0.01,1,0,0
qrs changes v3/v4 - probably due to lvh but consider anterior infarct,308,0.01,1,0,1
probable old anteroseptal infarct,307,0.01,1,0,0
low qrs voltages in standard limb leads,307,0.01,0,0,1
borderline first degree a-v block,306,0.01,1,0,0
premature atrial contraction(s),306,0.01,1,0,1
warning: data quality may affect computer interpretation!!,305,0.01,0,1,0
ant/septal and lateral st-t changes suggest myocardial injury/ischemia,304,0.01,1,0,1
irregular ectopic atrial rhythm,304,0.01,1,0,0
lateral st changes may be due to myocardial ischemia,304,0.01,1,0,1
septal st elevation - cannot rule out myocardial injury,303,0.01,1,0,1
possible wpw pattern,303,0.01,1,0,0
biventricular hypertrophy,302,0.01,1,0,0
incomplete rbbb and lafb,301,0.01,1,0,1
low r(v2-v4) probably due to right ventricular hypertrophy,300,0.01,1,0,1
atrial fibrillation with rapid ventricular response with pvc(s) or aberrant ventricular conduction.,299,0.01,1,0,1
probable inferior infarct - age undetermined,298,0.01,1,0,0
atrial-paced complexes,295,0.01,1,0,1
extensive st-t changes suggest myocardial infarct,295,0.01,1,0,1
"anterior infarct, acute",293,0.01,1,0,0
a-v dissociation.,292,0.01,1,0,0
"lvh with ivcd, lad and secondary repol abnrm",292,0.01,1,0,1
atrial fibrillation with rapid ventricular response with pvcs.,290,0.01,1,0,1
probable atrial fibrillation with pvc(s) or aberrant ventricular conduction,287,0.01,1,0,1
- demand ventricular pacing,284,0.01,1,0,1
sinus rhythm with pvc(s) with pac(s).,284,0.01,1,0,1
possible ectopic atrial rhythm with pac(s),281,0.01,1,0,1
sinus bradycardia with pac(s) with 1st degree a-v block,280,0.01,1,0,1
junctional rhythm,278,0.01,1,0,0
right bundle branch block with left anterior fascicular block,277,0.01,1,0,1
"lateral infarct, acute",277,0.01,1,0,0
lateral st elevation suggests early repolarization,271,0.01,1,0,1
possible ectopic atrial tachycardia,270,0.01,1,0,0
*** lateral infarct - possibly acute ***,270,0.01,1,0,0
atrial flutter with 4:1 a-v block,268,0.01,1,0,0
atrial fibrillation with rapid ventricular response with pvcs or aberrant ventricular conduction.,266,0.01,1,0,1
ventricular trigeminy,266,0.01,1,0,1
possible atrial flutter with slow ventricular response,265,0.01,1,0,0
lateral t wave changes offer additional evidence of ischemia,263,0.01,1,0,1
"ivcd, consider atypical lbbb",261,0.01,1,0,1
atrial flutter with rapid ventricular response.,261,0.01,1,0,0
"broad r in i, v5 or v6",260,0.01,0,0,1
bvh with secondary repolarization abnormality,258,0.01,1,0,1
sinus bradycardia with pacs.,256,0.01,1,0,1
probable junctional rhythm,255,0.01,1,0,0
atrial fibrillation with slow ventricular response with pvc(s),252,0.01,1,0,1
--- possible measurement error ---,251,0.01,0,1,0
"probable anteroseptal infarct, recent",251,0.01,1,0,0
inferior + anterior t wave change are nonspecific,248,0.01,0,0,1
septal t wave changes are borderline abnormal,247,0.01,1,0,1
pacemaker spikes or artifacts,247,0.01,0,1,1
atrial fibrillation with multifocal pvcs or aberrant ventricular conduction,247,0.01,1,0,1
- premature atrial contractions,247,0.01,1,0,1
sinus tachycardia with pvc(s) with pac(s),241,0.01,1,0,1
sinus rhythm with pvcs with pacs,240,0.01,1,0,1
anterior st changes are nonspecific,239,0.01,0,0,1
sinus rhythm with pvcs with pacs.,239,0.01,1,0,1
inferior t wave changes may be due to hypertrophy and/or ischemia,239,0.01,1,0,1
sinus rhythm with bigeminal pvcs.,237,0.01,1,0,1
old anteroseptal infarct,236,0.01,1,0,0
sinus rhythm with pac(s) with 1st degree a-v block.,236,0.01,1,0,1
--- suggests dextrocardia ---,236,0.01,1,0,0
inferior/lateral t wave changes may be due to hypertrophy and/or ischemia,236,0.01,1,0,1
summary: normal ecg except for rate,235,0.01,1,0,0
afib/flutter and ventricular-paced rhythm,235,0.01,1,0,1
probable atrial fibrillation with pvc(s),234,0.01,1,0,1
